# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = -0.40 ([Fe/H]_sun = 0.0181)
# X = 7.3669E-01   Y = 2.580E-01   Z = 5.3084E-03 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,7.00E+06,3.50558,-1.84382,0.736647,1605740.0,4.18833,0.388667
0.090,7.00E+06,3.50847,-1.80448,0.736647,1650470.0,4.18537,0.401299
0.095,7.00E+06,3.51136,-1.77172,0.736647,1702610.0,4.18764,0.411219
0.100,7.00E+06,3.51411,-1.73549,0.736647,1744100.0,4.1847,0.423334
0.110,7.00E+06,3.51869,-1.67295,0.736647,1828330.0,4.18186,0.445449
0.120,7.00E+06,3.52248,-1.62296,0.736647,1919460.0,4.18483,0.463672
0.130,7.00E+06,3.52593,-1.57076,0.736647,1993230.0,4.18116,0.484644
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,8.00E+06,3.4848,-2.15507,0.736647,1312840.0,4.22741,0.298891
0.060,8.00E+06,3.48963,-2.09861,0.736647,1380210.0,4.22802,0.31196
0.065,8.00E+06,3.49349,-2.05087,0.736647,1447140.0,4.23052,0.323767
0.070,8.00E+06,3.4968,-2.00228,0.736647,1503180.0,4.22734,0.337221
0.075,8.00E+06,3.49971,-1.96598,0.736647,1569710.0,4.23265,0.346927
0.080,8.00E+06,3.50253,-1.92604,0.736647,1625010.0,4.232,0.358574
0.085,8.00E+06,3.50531,-1.88815,0.736647,1678650.0,4.23158,0.369789
0.090,8.00E+06,3.50821,-1.84924,0.736647,1726740.0,4.22907,0.381611
0.095,8.00E+06,3.5111,-1.81624,0.736647,1781330.0,4.23112,0.391145
0.100,8.00E+06,3.51386,-1.78047,0.736647,1826150.0,4.22868,0.402433
0.110,8.00E+06,3.51851,-1.71803,0.736647,1915880.0,4.22621,0.423276
0.120,8.00E+06,3.5223,-1.6674,0.736647,2010700.0,4.22855,0.44091
0.130,8.00E+06,3.52572,-1.61558,0.736647,2089210.0,4.22517,0.460703
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
