# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = +0.00 ([Fe/H]_sun = 0.0181)
# X = 7.2881E-01   Y = 2.580E-01   Z = 1.3191E-02 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,5.00E+09,3.39744,-3.40584,0.728356,3764650.0,5.31776,0.105892
0.090,5.00E+09,3.41888,-3.25733,0.728147,4036070.0,5.27986,0.113821
0.095,5.00E+09,3.43573,-3.14346,0.716788,4256770.0,5.25686,0.120078
0.100,5.00E+09,3.44702,-3.05614,0.727783,4445970.0,5.237,0.126048
0.110,5.00E+09,3.46296,-2.91918,0.727384,4765210.0,5.20516,0.137135
0.120,5.00E+09,3.47412,-2.81147,0.727215,5033400.0,5.17989,0.147461
0.130,5.00E+09,3.4826,-2.72166,0.726972,5266780.0,5.15876,0.157263
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 5.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,5.50E+09,3.302,-3.91567,0.726344,3225720.0,5.41954,0.0913715
0.085,5.50E+09,3.39746,-3.40571,0.72829,3765110.0,5.31772,0.105897
0.090,5.50E+09,3.41891,-3.2572,0.72806,4036600.0,5.27982,0.113827
0.095,5.50E+09,3.43575,-3.14334,0.715505,4257350.0,5.25682,0.120085
0.100,5.50E+09,3.44704,-3.05603,0.727658,4446610.0,5.23695,0.126055
0.110,5.50E+09,3.46297,-2.91907,0.727228,4765950.0,5.20511,0.137144
0.120,5.50E+09,3.47413,-2.81137,0.727032,5034220.0,5.17983,0.147471
0.130,5.50E+09,3.48261,-2.72155,0.726764,5267650.0,5.15869,0.157276
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,6.00E+09,3.39755,-3.40508,0.728224,3765680.0,5.31746,0.105928
0.090,6.00E+09,3.41893,-3.25707,0.727972,4037120.0,5.27978,0.113832
0.095,6.00E+09,3.43577,-3.14322,0.714225,4257930.0,5.25677,0.120091
0.100,6.00E+09,3.44706,-3.05591,0.727533,4447250.0,5.2369,0.126062
0.110,6.00E+09,3.46298,-2.91896,0.72717,4766880.0,5.20506,0.137152
0.120,6.00E+09,3.47414,-2.81126,0.726849,5035030.0,5.17978,0.147481
0.130,6.00E+09,3.48262,-2.72143,0.726556,5268510.0,5.15862,0.157288
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,6.50E+09,3.39759,-3.4048,0.728158,3766180.0,5.31736,0.10594
0.090,6.50E+09,3.41895,-3.25693,0.727885,4037650.0,5.27974,0.113837
0.095,6.50E+09,3.43579,-3.1431,0.712951,4258510.0,5.25673,0.120097
0.100,6.50E+09,3.44707,-3.0558,0.727408,4447890.0,5.23685,0.126069
0.110,6.50E+09,3.463,-2.91886,0.726883,4767640.0,5.205,0.13716
0.120,6.50E+09,3.47416,-2.81115,0.726665,5035850.0,5.17972,0.147491
0.130,6.50E+09,3.48263,-2.72132,0.726349,5269360.0,5.15855,0.157301
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,7.00E+09,3.39762,-3.40464,0.728092,3766650.0,5.31731,0.105947
0.090,7.00E+09,3.41897,-3.2568,0.727797,4038170.0,5.2797,0.113842
0.095,7.00E+09,3.4358,-3.14298,0.711681,4259090.0,5.25668,0.120103
0.100,7.00E+09,3.44709,-3.05568,0.727282,4448540.0,5.2368,0.126076
0.110,7.00E+09,3.46301,-2.91875,0.726825,4768330.0,5.20495,0.137169
0.120,7.00E+09,3.47417,-2.81104,0.726482,5036660.0,5.17966,0.147501
0.130,7.00E+09,3.48264,-2.7212,0.726141,5270210.0,5.15847,0.157314
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,7.50E+09,3.39765,-3.40451,0.728026,3767110.0,5.31727,0.105952
0.090,7.50E+09,3.419,-3.25667,0.72771,4038700.0,5.27966,0.113847
0.095,7.50E+09,3.43582,-3.14286,0.710417,4259670.0,5.25664,0.120109
0.100,7.50E+09,3.44711,-3.05557,0.727157,4449180.0,5.23675,0.126083
0.110,7.50E+09,3.46302,-2.91864,0.726702,4769080.0,5.2049,0.137177
0.120,7.50E+09,3.47418,-2.81094,0.726299,5037460.0,5.1796,0.147512
0.130,7.50E+09,3.48265,-2.72108,0.725933,5271050.0,5.1584,0.157328
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,8.00E+09,3.39767,-3.40437,0.72796,3767580.0,5.31723,0.105957
0.090,8.00E+09,3.41905,-3.25629,0.727622,4039140.0,5.2795,0.113869
0.095,8.00E+09,3.43584,-3.14274,0.709157,4260250.0,5.25659,0.120116
0.100,8.00E+09,3.44712,-3.05546,0.727032,4449820.0,5.23671,0.12609
0.110,8.00E+09,3.46304,-2.91854,0.726349,4769850.0,5.20484,0.137186
0.120,8.00E+09,3.47419,-2.81083,0.726116,5038270.0,5.17953,0.147522
0.130,8.00E+09,3.48266,-2.72096,0.725725,5271880.0,5.15832,0.157342
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,8.50E+09,3.39769,-3.40424,0.727894,3768040.0,5.31719,0.105961
0.090,8.50E+09,3.41908,-3.25611,0.727534,4039650.0,5.27943,0.113877
0.095,8.50E+09,3.43586,-3.14262,0.727119,4260830.0,5.25655,0.120122
0.100,8.50E+09,3.44715,-3.05517,0.726906,4450250.0,5.23655,0.126113
0.110,8.50E+09,3.46305,-2.91843,0.726389,4770540.0,5.20479,0.137194
0.120,8.50E+09,3.4742,-2.81071,0.725932,5039070.0,5.17947,0.147533
0.130,8.50E+09,3.48268,-2.72083,0.725518,5272710.0,5.15824,0.157356
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,9.00E+09,3.39772,-3.4041,0.727828,3768510.0,5.31715,0.105966
0.090,9.00E+09,3.41911,-3.25597,0.727446,4040180.0,5.27939,0.113883
0.095,9.00E+09,3.43588,-3.1425,0.725789,4261420.0,5.2565,0.120128
0.100,9.00E+09,3.44717,-3.05504,0.726781,4450860.0,5.23649,0.126122
0.110,9.00E+09,3.46306,-2.91832,0.726233,4771280.0,5.20473,0.137203
0.120,9.00E+09,3.47422,-2.8106,0.725749,5039870.0,5.17941,0.147543
0.130,9.00E+09,3.48269,-2.72071,0.72531,5273530.0,5.15816,0.157371
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,9.50E+09,3.39774,-3.40397,0.727762,3768970.0,5.31711,0.105971
0.090,9.50E+09,3.41913,-3.25584,0.727358,4040700.0,5.27935,0.113888
0.095,9.50E+09,3.43593,-3.14211,0.724464,4261800.0,5.2563,0.120156
0.100,9.50E+09,3.44719,-3.05492,0.726655,4451500.0,5.23644,0.126129
0.110,9.50E+09,3.46308,-2.91819,0.726011,4771990.0,5.20466,0.137214
0.120,9.50E+09,3.47423,-2.81046,0.725566,5040590.0,5.17933,0.147558
0.130,9.50E+09,3.4827,-2.72058,0.725102,5274340.0,5.15808,0.157385
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+10
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.085,1.00E+10,3.39776,-3.40384,0.727696,3769440.0,5.31707,0.105976
0.090,1.00E+10,3.41915,-3.2557,0.727271,4041230.0,5.27931,0.113893
0.095,1.00E+10,3.43595,-3.14196,0.723144,4262360.0,5.25624,0.120164
0.100,1.00E+10,3.4472,-3.05481,0.72653,4452140.0,5.23639,0.126136
0.110,1.00E+10,3.4631,-2.91801,0.725921,4772540.0,5.20456,0.137231
0.120,1.00E+10,3.47424,-2.81032,0.725382,5041300.0,5.17924,0.147573
0.130,1.00E+10,3.48271,-2.72045,0.724895,5275150.0,5.158,0.1574
